Day,Number of Bicycle Hires
19/07/2019,25620
18/07/2019,34240
17/07/2019,41959
16/07/2019,43693
15/07/2019,39489
14/07/2019,27858
13/07/2019,36204
12/07/2019,41305
11/07/2019,41916
10/07/2019,42343
09/07/2019,41447
08/07/2019,39670
07/07/2019,29889
06/07/2019,34018
05/07/2019,42466
04/07/2019,44668
03/07/2019,43924
02/07/2019,42658
01/07/2019,39257
30/06/2019,33990
29/06/2019,38616
28/06/2019,39986
27/06/2019,41692
26/06/2019,39620
25/06/2019,38200
24/06/2019,38617
23/06/2019,30851
22/06/2019,36858
21/06/2019,38656
20/06/2019,38345
19/06/2019,33190
18/06/2019,29854
17/06/2019,38894
16/06/2019,26102
15/06/2019,28235
14/06/2019,33837
13/06/2019,26617
12/06/2019,25449
11/06/2019,34285
10/06/2019,13358
09/06/2019,29311
08/06/2019,26656
07/06/2019,25122
06/06/2019,38141
05/06/2019,38033
04/06/2019,31948
03/06/2019,37306
02/06/2019,33865
01/06/2019,40800
31/05/2019,39017
30/05/2019,39450
29/05/2019,31203
28/05/2019,34443
27/05/2019,28309
26/05/2019,26802
25/05/2019,33151
24/05/2019,37280
23/05/2019,41314
22/05/2019,40312
21/05/2019,41251
20/05/2019,36072
19/05/2019,26727
18/05/2019,28138
17/05/2019,29846
16/05/2019,38408
15/05/2019,39054
14/05/2019,39647
13/05/2019,37537
12/05/2019,31836
11/05/2019,25475
10/05/2019,34078
09/05/2019,28404
08/05/2019,20276
07/05/2019,34646
06/05/2019,22472
05/05/2019,22896
04/05/2019,19806
03/05/2019,28182
02/05/2019,32563
01/05/2019,37952
30/04/2019,38908
29/04/2019,33748
28/04/2019,22631
27/04/2019,18379
26/04/2019,32006
25/04/2019,34494
24/04/2019,34593
23/04/2019,34948
22/04/2019,35435
21/04/2019,36686
20/04/2019,38712
19/04/2019,36505
18/04/2019,36574
17/04/2019,37203
16/04/2019,31842
15/04/2019,30837
14/04/2019,20896
13/04/2019,19856
12/04/2019,27403
11/04/2019,30961
10/04/2019,31699
09/04/2019,25534
08/04/2019,26527
07/04/2019,16897
06/04/2019,20423
05/04/2019,27536
04/04/2019,25493
03/04/2019,27059
02/04/2019,24529
01/04/2019,31834
31/03/2019,20325
30/03/2019,33026
29/03/2019,35321
28/03/2019,32315
27/03/2019,31263
26/03/2019,31955
25/03/2019,31215
24/03/2019,27408
23/03/2019,25897
22/03/2019,28229
21/03/2019,31307
20/03/2019,30485
19/03/2019,27683
18/03/2019,27824
17/03/2019,14390
16/03/2019,14594
15/03/2019,26123
14/03/2019,23699
13/03/2019,26816
12/03/2019,21718
11/03/2019,27725
10/03/2019,12111
09/03/2019,19951
08/03/2019,23635
07/03/2019,24884
06/03/2019,25449
05/03/2019,29701
04/03/2019,26532
03/03/2019,9641
02/03/2019,22795
01/03/2019,28255
28/02/2019,27219
27/02/2019,35420
26/02/2019,34996
25/02/2019,31480
24/02/2019,26092
23/02/2019,29242
22/02/2019,29703
21/02/2019,30474
20/02/2019,28971
19/02/2019,28927
18/02/2019,23815
17/02/2019,24383
16/02/2019,20560
15/02/2019,28838
14/02/2019,29270
13/02/2019,29145
12/02/2019,28786
11/02/2019,27439
10/02/2019,10800
09/02/2019,17439
08/02/2019,17468
07/02/2019,26703
06/02/2019,26197
05/02/2019,25682
04/02/2019,18254
03/02/2019,14637
02/02/2019,14136
01/02/2019,12841
31/01/2019,23487
30/01/2019,25482
29/01/2019,24732
28/01/2019,25859
27/01/2019,10596
26/01/2019,15062
25/01/2019,24198
24/01/2019,24357
23/01/2019,25406
22/01/2019,23083
21/01/2019,26567
20/01/2019,16803
19/01/2019,16653
18/01/2019,25525
17/01/2019,26053
16/01/2019,24500
15/01/2019,29413
14/01/2019,28097
13/01/2019,16304
12/01/2019,16750
11/01/2019,26378
10/01/2019,26022
09/01/2019,26568
08/01/2019,27757
07/01/2019,25668
06/01/2019,14262
05/01/2019,13907
04/01/2019,20863
03/01/2019,21552
02/01/2019,19746
01/01/2019,14148
31/12/2018,16305
30/12/2018,12922
29/12/2018,13100
28/12/2018,13794
27/12/2018,12310
26/12/2018,10841
25/12/2018,35267
24/12/2018,10043
23/12/2018,6748
22/12/2018,13310
21/12/2018,19169
20/12/2018,23694
19/12/2018,22425
18/12/2018,20180
17/12/2018,24973
16/12/2018,12123
15/12/2018,8076
14/12/2018,24076
13/12/2018,25997
12/12/2018,27494
11/12/2018,28904
10/12/2018,27880
09/12/2018,15441
08/12/2018,16515
07/12/2018,18608
06/12/2018,16600
05/12/2018,23816
04/12/2018,28982
03/12/2018,25801
02/12/2018,15990
01/12/2018,14046
30/11/2018,28615
29/11/2018,25714
28/11/2018,22846
27/11/2018,22128
26/11/2018,27509
25/11/2018,14529
24/11/2018,15813
23/11/2018,25881
22/11/2018,26112
21/11/2018,25022
20/11/2018,15237
19/11/2018,18246
18/11/2018,9585
17/11/2018,20518
16/11/2018,28581
15/11/2018,33043
14/11/2018,33339
13/11/2018,32062
12/11/2018,26077
11/11/2018,18455
10/11/2018,14732
09/11/2018,27403
08/11/2018,32933
07/11/2018,27656
06/11/2018,33038
05/11/2018,31421
04/11/2018,21829
03/11/2018,25142
02/11/2018,31083
01/11/2018,23475
31/10/2018,32891
30/10/2018,30269
29/10/2018,29409
28/10/2018,13675
27/10/2018,18756
26/10/2018,27636
25/10/2018,34640
24/10/2018,35656
23/10/2018,34889
22/10/2018,34430
21/10/2018,32484
20/10/2018,32588
19/10/2018,34707
18/10/2018,35206
17/10/2018,30482
16/10/2018,37920
15/10/2018,28044
14/10/2018,10292
13/10/2018,36393
12/10/2018,35747
11/10/2018,35875
10/10/2018,39398
09/10/2018,39132
08/10/2018,35156
07/10/2018,25713
06/10/2018,10043
05/10/2018,39569
04/10/2018,36930
03/10/2018,38434
02/10/2018,37515
01/10/2018,34411
30/09/2018,25254
29/09/2018,32941
28/09/2018,35817
27/09/2018,39835
26/09/2018,39281
25/09/2018,36730
24/09/2018,34563
23/09/2018,13192
22/09/2018,12376
21/09/2018,32942
20/09/2018,35317
19/09/2018,37027
18/09/2018,38360
17/09/2018,39190
16/09/2018,32055
15/09/2018,33465
14/09/2018,35332
13/09/2018,38708
12/09/2018,33403
11/09/2018,37221
10/09/2018,36965
09/09/2018,30598
08/09/2018,28318
07/09/2018,35451
06/09/2018,34778
05/09/2018,36059
04/09/2018,36581
03/09/2018,36068
02/09/2018,35048
01/09/2018,35326
31/08/2018,35209
30/08/2018,37001
29/08/2018,27070
28/08/2018,34791
27/08/2018,25059
26/08/2018,8177
25/08/2018,25490
24/08/2018,27839
23/08/2018,34492
22/08/2018,38401
21/08/2018,40293
20/08/2018,37839
19/08/2018,32209
18/08/2018,31691
17/08/2018,36869
16/08/2018,28400
15/08/2018,40930
14/08/2018,40735
13/08/2018,36510
12/08/2018,23113
11/08/2018,33214
10/08/2018,29253
09/08/2018,20574
08/08/2018,42676
07/08/2018,40954
06/08/2018,41963
05/08/2018,40220
04/08/2018,39318
03/08/2018,40908
02/08/2018,43292
01/08/2018,43691
31/07/2018,42260
30/07/2018,38274
29/07/2018,18974
28/07/2018,41145
27/07/2018,34606
26/07/2018,43343
25/07/2018,44870
24/07/2018,44195
23/07/2018,42509
22/07/2018,37683
21/07/2018,38763
20/07/2018,40297
19/07/2018,42857
18/07/2018,43183
17/07/2018,43392
16/07/2018,41828
15/07/2018,37299
14/07/2018,37733
13/07/2018,38879
12/07/2018,41826
11/07/2018,44003
10/07/2018,43535
09/07/2018,41893
08/07/2018,38196
07/07/2018,36308
06/07/2018,43143
05/07/2018,44052
04/07/2018,43511
03/07/2018,44655
02/07/2018,42556
01/07/2018,37334
30/06/2018,38522
29/06/2018,43081
28/06/2018,43075
27/06/2018,44788
26/06/2018,46084
25/06/2018,44565
24/06/2018,38982
23/06/2018,38772
22/06/2018,41765
21/06/2018,41533
20/06/2018,41134
19/06/2018,41862
18/06/2018,39768
17/06/2018,26769
16/06/2018,31329
15/06/2018,39862
14/06/2018,37871
13/06/2018,40569
12/06/2018,38487
11/06/2018,41027
10/06/2018,38562
09/06/2018,36466
08/06/2018,39576
07/06/2018,37841
06/06/2018,41592
05/06/2018,37048
04/06/2018,35255
03/06/2018,39871
02/06/2018,38293
01/06/2018,37293
31/05/2018,37677
30/05/2018,34884
29/05/2018,24312
28/05/2018,36742
27/05/2018,33192
26/05/2018,33573
25/05/2018,35108
24/05/2018,31970
23/05/2018,38229
22/05/2018,41242
21/05/2018,38800
20/05/2018,39964
19/05/2018,36895
18/05/2018,37305
17/05/2018,37549
16/05/2018,34627
15/05/2018,42106
14/05/2018,38095
13/05/2018,29190
12/05/2018,16717
11/05/2018,38386
10/05/2018,38054
09/05/2018,41130
08/05/2018,41579
07/05/2018,45435
06/05/2018,40606
05/05/2018,39070
04/05/2018,36447
03/05/2018,35477
02/05/2018,23727
01/05/2018,34598
30/04/2018,17112
29/04/2018,15822
28/04/2018,17368
27/04/2018,21387
26/04/2018,34995
25/04/2018,33426
24/04/2018,33430
23/04/2018,35940
22/04/2018,38395
21/04/2018,42328
20/04/2018,45048
19/04/2018,43585
18/04/2018,40544
17/04/2018,33025
16/04/2018,30730
15/04/2018,21324
14/04/2018,34235
13/04/2018,27363
12/04/2018,26473
11/04/2018,24883
10/04/2018,26751
09/04/2018,16324
08/04/2018,9759
07/04/2018,25909
06/04/2018,30690
05/04/2018,30508
04/04/2018,23173
03/04/2018,22708
02/04/2018,7998
01/04/2018,13504
31/03/2018,11032
30/03/2018,6362
29/03/2018,20237
28/03/2018,15800
27/03/2018,22603
26/03/2018,29486
25/03/2018,19723
24/03/2018,18804
23/03/2018,26894
22/03/2018,27228
21/03/2018,27719
20/03/2018,24582
19/03/2018,20488
18/03/2018,6624
17/03/2018,8106
16/03/2018,28308
15/03/2018,25318
14/03/2018,28769
13/03/2018,28069
12/03/2018,19996
11/03/2018,16259
10/03/2018,18717
09/03/2018,18912
08/03/2018,25967
07/03/2018,22044
06/03/2018,26301
05/03/2018,24818
04/03/2018,10853
03/03/2018,7924
02/03/2018,8234
01/03/2018,8744
28/02/2018,10619
27/02/2018,18741
26/02/2018,19204
25/02/2018,14037
24/02/2018,16522
23/02/2018,23067
22/02/2018,26179
21/02/2018,26434
20/02/2018,25055
19/02/2018,19879
18/02/2018,18624
17/02/2018,23169
16/02/2018,25411
15/02/2018,25264
14/02/2018,18866
13/02/2018,20931
12/02/2018,24719
11/02/2018,14621
10/02/2018,9956
09/02/2018,21037
08/02/2018,25791
07/02/2018,25388
06/02/2018,25349
05/02/2018,23898
04/02/2018,13833
03/02/2018,8975
02/02/2018,25331
01/02/2018,25525
31/01/2018,24117
30/01/2018,28002
29/01/2018,26371
28/01/2018,17512
27/01/2018,14472
26/01/2018,26430
25/01/2018,28189
24/01/2018,20206
23/01/2018,26003
22/01/2018,26337
21/01/2018,5859
20/01/2018,9398
19/01/2018,25799
18/01/2018,26471
17/01/2018,26934
16/01/2018,26921
15/01/2018,19161
14/01/2018,15070
13/01/2018,17512
12/01/2018,24696
11/01/2018,25222
10/01/2018,26787
09/01/2018,24683
08/01/2018,23374
07/01/2018,12259
06/01/2018,13920
05/01/2018,21759
04/01/2018,17543
03/01/2018,20265
02/01/2018,14394
01/01/2018,10235
31/12/2017,9292
30/12/2017,10908
29/12/2017,8346
28/12/2017,11236
27/12/2017,5426
26/12/2017,7149
25/12/2017,27305
24/12/2017,7498
23/12/2017,9725
22/12/2017,17124
21/12/2017,20945
20/12/2017,21801
19/12/2017,22935
18/12/2017,23414
17/12/2017,7519
16/12/2017,12229
15/12/2017,21107
14/12/2017,24064
13/12/2017,20074
12/12/2017,22780
11/12/2017,13055
10/12/2017,5143
09/12/2017,15509
